nome_produto,preco_produto,quantidade_vendida,nome_vendedor,status_vendedor,reputacao_cor,reviews_nota_media,reviews_quantidade_total,reviews_5_estrelas_pct,reviews_4_estrelas_pct,reviews_3_estrelas_pct,reviews_2_estrelas_pct,reviews_1_estrelas_pct,url_produto
Kit Cartucho 662 Preto E Color Original Hp 2516 3516 4646,"192,07",100,Primer Print,+10mil vendas,Verde,4.5,68,75.0,10.29,7.35,2.94,4.41,https://www.mercadolivre.com.br/kit-cartucho-662-preto-e-color-original-hp-2516-3516-4646/up/MLBU1967252148#polycard_client=search-nordic&search_layout=grid&position=29&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB1754287888&sid=search
Kit Cartucho De Tinta Hp 662 Colorido Cz104ab 2ml C/2 Un,"99,50",3,GRUPOMAXPAR,+50 vendas,Verde,0.0,0,,,,,,https://www.mercadolivre.com.br/kit-cartucho-de-tinta-hp-662-colorido-cz104ab-2ml-c2-un/up/MLBU3281474916#polycard_client=search-nordic&search_layout=grid&position=34&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB5482098012&sid=search
Kit Cartucho De Tinta Hp 662 Preto+ 662 Colorido,"158,10",1000,OBERO INFORMATICA,MercadoLíder,Verde,4.8,27,88.89,7.41,0.0,3.7,0.0,https://www.mercadolivre.com.br/kit-cartucho-de-tinta-hp-662-preto-662-colorido/p/MLB39019551#polycard_client=search-nordic&search_layout=grid&position=28&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB3981747525&sid=search
Kit Cartucho De Tinta Hp 662 Preto E 622 Colorido,"230,99",500,hiperfacil,MercadoLíder,Verde,4.6,51,80.39,9.8,3.92,0.0,5.88,https://www.mercadolivre.com.br/kit-cartucho-de-tinta-hp-662-preto-e-622-colorido/p/MLB44336841#polycard_client=search-nordic&search_layout=grid&position=30&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB5270926036&sid=search
Kit Cartucho Hp 662 662xl (preto + Color) Original 3636 Full,"312,15",100,Park Ecom,+50mil vendas,Verde,4.8,26,84.62,7.69,7.69,0.0,0.0,https://www.mercadolivre.com.br/kit-cartucho-hp-662-662xl-preto--color-original-3636-full/up/MLBU785282061#polycard_client=search-nordic&search_layout=grid&position=41&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB4963114980&sid=search
Kit Cartucho Hp 662 Cz103ab Preto + Cz104ab Color,"158,10",1000,vanvan,MercadoLíder,Verde,4.8,85,91.76,3.53,2.35,1.18,1.18,https://www.mercadolivre.com.br/kit-cartucho-hp-662-cz103ab-preto-cz104ab-color/p/MLB41237931#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB3981975795&sid=search
Kit Cartucho Hp 662 Preto + 662 Colorido,"182,90",100,siad,MercadoLíder,Verde,4.6,51,80.39,9.8,3.92,0.0,5.88,https://www.mercadolivre.com.br/kit-cartucho-hp-662-preto-662-colorido/p/MLB41763133#polycard_client=search-nordic&search_layout=grid&position=36&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB5135379984&sid=search
Kit Cartucho Hp 662 Preto E Colorido,"154,85",1000,SCOTCH,MercadoLíder,Verde,4.6,224,80.8,10.27,3.12,2.23,3.57,https://www.mercadolivre.com.br/kit-cartucho-hp-662-preto-e-colorido/p/MLB39134548#polycard_client=search-nordic&search_layout=grid&position=21&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB5433751732&sid=search
Kit Cartucho Hp 662xl Colorido + Preto,"369,90",0,CASAPRINT SPEED,MercadoLíder,Verde,3.7,15,53.33,13.33,0.0,13.33,20.0,https://www.mercadolivre.com.br/kit-cartucho-hp-662xl-colorido-preto/p/MLB46484427#polycard_client=search-nordic&search_layout=grid&position=54&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB5675917340&sid=search
Kit Cartucho Hp 662xl Original Cz105ab Bk Cz106ab Cor 3516,"349,90",0,CASAPRINT SPEED,MercadoLíder,Verde,0.0,0,,,,,,https://www.mercadolivre.com.br/kit-cartucho-hp-662xl-original-cz105ab-bk-cz106ab-cor-3516/up/MLBU1715006228#polycard_client=search-nordic&search_layout=grid&position=27&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB1605965477&sid=search
Kit Cartucho Original Hp 662 Preto + 662 Colorido Nf,"168,10",500,mercadoall,MercadoLíder,Verde,4.6,179,81.01,8.94,5.03,1.68,3.35,https://www.mercadolivre.com.br/kit-cartucho-original-hp-662-preto--662-colorido-nf/up/MLBU1423437124#polycard_client=search-nordic&search_layout=grid&position=48&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB2212626691&sid=search
Kit Cartucho Original Hp 662 Preto + 662 Colorido Nf,"168,10",100,SMCORP,MercadoLíder,Verde,4.6,100,79.0,9.0,7.0,0.0,5.0,https://www.mercadolivre.com.br/kit-cartucho-original-hp-662-preto--662-colorido-nf/up/MLBU1738733068#polycard_client=search-nordic&search_layout=grid&position=24&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB2213854279&sid=search
Kit Cartucho Original Hp 662 Preto E 662 Colorido Nf,"169,01",50,Park Ecom,+50mil vendas,Verde,4.8,21,90.48,4.76,0.0,0.0,4.76,https://www.mercadolivre.com.br/kit-cartucho-original-hp-662-preto-e-662-colorido-nf/up/MLBU756865965#polycard_client=search-nordic&search_layout=grid&position=49&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB3202480004&sid=search
Kit Cartuchos Hp 662xl Preto + Color 3516 3546 4646,"278,30",500,TC20240813115050,MercadoLíder,Verde,4.5,37,78.38,8.11,5.41,0.0,8.11,https://www.mercadolivre.com.br/kit-cartuchos-hp-662xl-preto-color-3516-3546-4646/p/MLB39062829#polycard_client=search-nordic&search_layout=grid&position=45&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB4159217483&sid=search
Kit Cartuchos Originais Hp 662 Preto + Color 2516 3516 1516 2546 3546 4646,"179,99",0,LKF COMERCIO,MercadoLíder,Verde,4.6,601,82.2,8.15,3.0,1.0,5.66,https://www.mercadolivre.com.br/kit-cartuchos-originais-hp-662-preto--color-2516-3516-1516-2546-3546-4646/up/MLBU1403554450#polycard_client=search-nordic&search_layout=grid&position=16&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB1275761097&sid=search
Kit Cartuchos Original Hp 662 2 Pretas 1 Colorido 3546 4646,"269,99",3,SARAIVA COMERCIO,MercadoLíder,Verde,0.0,0,,,,,,https://www.mercadolivre.com.br/kit-cartuchos-original-hp-662-2-pretas-1-colorido-3546-4646/up/MLBU1447988340#polycard_client=search-nordic&search_layout=grid&position=50&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB3387312133&sid=search
Kit Hp 662 Preto + Hp 662 Color Deskjet 1516 2516 3516 4646,"172,90",100,SCOTCH,MercadoLíder,Verde,4.4,5,60.0,20.0,20.0,0.0,0.0,https://www.mercadolivre.com.br/kit-hp-662-preto-hp-662-color-deskjet-1516-2516-3516-4646/p/MLB44331391#polycard_client=search-nordic&search_layout=grid&position=53&type=product&tracking_id=0079b136-1e30-417f-82b3-1f5d588f60a2&wid=MLB5247593812&sid=search
Kit 4 Cartuchos De Tinta 712  Hp T210 T250 T650,"979,34",25,MELIMELI12,MercadoLíder,Verde,0.0,0,,,,,,https://produto.mercadolivre.com.br/MLB-5046753398-kit-4-cartuchos-de-tinta-712-hp-t210-t250-t650-_JM#is_advertising=true&backend_model=search-backend&position=21&search_layout=grid&type=pad&tracking_id=2244f6c2-6297-41f8-9355-cf7d5165a1a5&ad_domain=VQCATCORE_LST&ad_position=21&ad_click_id=ZTI3MDNjM2EtN2E1Yy00MDQ3LWJhNmQtMTZmODY4N2E5NzZj
Kit 03 Cartucho Tinta Original  Hp 964 9020 9010,"749,90",25,Tec Print,+100mil vendas,Verde,5.0,2,100.0,0.0,0.0,0.0,0.0,https://produto.mercadolivre.com.br/MLB-1927821126-kit-03-cartucho-tinta-original-hp-964-9020-9010-_JM#is_advertising=true&backend_model=search-backend&position=20&search_layout=grid&type=pad&tracking_id=2244f6c2-6297-41f8-9355-cf7d5165a1a5&ad_domain=VQCATCORE_LST&ad_position=20&ad_click_id=NTY1YTVhNDAtNjFlZC00ZDY2LThkM2EtNzkxMTcxZmI5N2E3
Kit Cartucho Tinta Original Hp Officejet 938 9130 9730 9125,"1079,90",25,Tec Print,+100mil vendas,Verde,0.0,0,,,,,,https://produto.mercadolivre.com.br/MLB-3845344279-kit-cartucho-tinta-original-hp-officejet-938-9130-9730-9125-_JM#is_advertising=true&backend_model=search-backend&position=10&search_layout=grid&type=pad&tracking_id=2244f6c2-6297-41f8-9355-cf7d5165a1a5&ad_domain=VQCATCORE_LST&ad_position=10&ad_click_id=OWY3NzY1MmYtZTYxMS00YWViLTk4MDctZGI5ZTg5OWYzMjYy
Kit 2 Cartuchos Hp 122xl Preto Original,"198,24",5,clca,MercadoLíder,Verde,0.0,0,,,,,,https://produto.mercadolivre.com.br/MLB-4487256364-kit-2-cartuchos-hp-122xl-preto-original-_JM#is_advertising=true&backend_model=search-backend&position=12&search_layout=grid&type=pad&tracking_id=2244f6c2-6297-41f8-9355-cf7d5165a1a5&ad_domain=VQCATCORE_LST&ad_position=12&ad_click_id=NTZhMDE3NTMtMDE4Ni00M2Y1LTk1YmUtMTJmMTMxMzkwMTRl
Cartucho de Tinta HP 122 Preto,"114,90",0,EVOLURE,MercadoLíder,Verde,4.8,212,89.62,7.55,1.42,0.0,1.42,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-122-preto/p/MLB24113444?pdp_filters=item_id:MLB3902562825#is_advertising=true&searchVariation=MLB24113444&backend_model=search-backend&position=3&search_layout=grid&type=pad&tracking_id=2244f6c2-6297-41f8-9355-cf7d5165a1a5&ad_domain=VQCATCORE_LST&ad_position=3&ad_click_id=MTkzNzU5ZDEtNmI0MS00YTBkLTg1NzYtZjJmNTdmYTM0ZGM4
